label,fg_per_game,fga_per_game,fg_percent,x3pa_per_game,x3p_percent,x2pa_per_game,x2p_percent,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
PG,3.9,11.1,0.349,3.6,0.311,7.5,0.367,1.8,0.633,2.8,5.2,8,4.5,1.5,0.5,1.6,1.9,10
PG,1.3,2.6,0.483,1.6,0.472,1,0.5,0.3,0.722,0.3,1,1.3,2,0.6,0.1,0.3,0.6,3.5
PG,2.5,6.2,0.412,3.7,0.377,2.5,0.464,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1
PG,4.8,10,0.48,4.7,0.429,5.3,0.526,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5
C,4.2,8.3,0.51,1.2,0.244,7.1,0.555,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9
C,3.5,6.4,0.555,2,0.387,4.4,0.632,2.3,0.833,1.4,3.9,5.3,4.4,0.9,0.4,1.9,2.9,9.8
C,2.9,5.2,0.562,1.7,0.429,3.5,0.626,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1
C,4.7,8.5,0.548,2.5,0.338,6,0.637,3,0.824,1.6,4,5.6,4.6,1.3,0.6,2.5,3.5,12.7
C,1.9,3.1,0.597,0,0,3.1,0.599,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5
PG,4.3,10.9,0.391,5.9,0.334,5,0.459,3,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13
PG,2.8,6.7,0.413,1.8,0.297,5,0.455,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9
PG,1.2,3.3,0.37,1.2,0.121,2.1,0.508,0.7,0.85,0.3,0.6,0.9,1.3,0.3,0.1,0.5,0.5,3.2
PG,1.1,3.5,0.308,1.3,0.1,2.1,0.438,0.7,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9
PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PG,1.5,3.3,0.45,1.1,0.154,2.3,0.593,0.8,0.778,0.4,0.6,1,1.6,0.3,0.1,0.5,0.3,3.8
PG,2.3,5.3,0.429,2,0.25,3.3,0.538,0,0,0.3,1.5,1.8,3,1.5,0.5,0.3,1.3,5
PG,2.2,4.7,0.47,1.7,0.369,3.1,0.525,0.5,0.688,0.8,2.1,2.9,3.8,1,0.4,1.2,2,5.4
C,6.8,13.2,0.516,5.1,0.375,8.1,0.606,5.3,0.858,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1
PG,2.7,6.3,0.432,4.2,0.392,2.1,0.512,1.3,0.84,0.6,2.7,3.2,4.2,1,0.4,1.4,2.4,8.1
PG,2.8,6.5,0.426,4.4,0.385,2.2,0.506,1.1,0.833,0.7,2.8,3.5,4,1.1,0.4,1.4,2.5,8.2
PG,2.6,5.9,0.444,3.9,0.404,2,0.522,1.4,0.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8
PG,8.3,19.2,0.433,9,0.355,10.3,0.5,4.7,0.865,1.3,3.8,5.1,8,1.8,0.2,3.8,3.6,23.9
C,2.3,4,0.573,1.1,0.415,2.9,0.631,1,0.77,1.5,3.5,5,1.9,1,0.3,0.8,1.6,5.7
PG,0.7,1.7,0.4,0.7,0,1,0.667,0.7,1,0,0,0,0,0,0,0.3,0.3,2
PG,11.5,23.6,0.487,10.6,0.382,13,0.573,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9
C,1.4,3,0.48,1.3,0.281,1.7,0.628,1,0.72,0.8,0.5,1.2,0.2,0.2,0,0.2,1,4
C,2.3,3.2,0.7,0,1,3.2,0.698,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1,0.3,1.2,5.3
PG,2,4.7,0.418,2.4,0.331,2.3,0.513,1,0.732,0.3,1.3,1.7,1.9,0.6,0.1,0.9,1,5.5
PG,1.8,4.4,0.409,2.6,0.35,1.8,0.491,0.7,0.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
PG,0.6,1.6,0.391,0.9,0.308,0.7,0.5,0.8,0.818,0,0.4,0.4,0.4,0.1,0,0.2,0.2,2.2
PG,3,6.9,0.43,3.2,0.316,3.7,0.528,1.6,0.684,0.3,1.5,1.8,2.1,0.8,0.1,1.1,0.9,8
PG,3.6,8.4,0.432,3.6,0.347,4.8,0.494,0.8,0.873,0.4,1.6,2,2.1,0.4,0.1,1.2,1.3,9.2
PG,5.6,12.7,0.44,5.1,0.412,7.6,0.458,3,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
C,1.3,4.9,0.265,0.7,0.2,4.1,0.276,0.3,0,2.1,3.3,5.4,0.3,0.4,0.6,0.4,2.1,2.7
